"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2024","3,520.13","3,520.18","3,547.31","3,520.13","0.00K","0.80%"
"06/05/2024","3,492.12","3,459.77","3,497.67","3,441.08","0.00K","1.49%"
"06/04/2024","3,440.89","3,492.40","3,495.10","3,440.89","0.00K","-1.61%"
"06/03/2024","3,497.31","3,469.61","3,519.74","3,469.61","0.00K","1.26%"
"05/31/2024","3,453.87","3,487.64","3,487.71","3,453.87","0.00K","-0.83%"
"05/30/2024","3,482.70","3,499.02","3,512.27","3,470.01","0.00K","-0.24%"
"05/29/2024","3,491.16","3,567.69","3,568.77","3,491.16","0.00K","-2.26%"
"05/28/2024","3,571.86","3,605.96","3,614.28","3,568.95","0.00K","-0.79%"
"05/27/2024","3,600.40","3,589.77","3,628.89","3,588.47","0.00K","0.54%"
"05/24/2024","3,581.13","3,566.57","3,592.72","3,560.43","0.00K","-0.24%"
"05/23/2024","3,589.74","3,593.88","3,607.63","3,580.83","0.00K","-0.01%"
"05/22/2024","3,590.16","3,633.84","3,640.58","3,586.14","0.00K","-1.42%"
"05/21/2024","3,642.03","3,662.02","3,662.02","3,638.25","0.00K","-0.44%"
"05/20/2024","3,658.13","3,642.52","3,665.50","3,637.04","0.00K","1.01%"
"05/17/2024","3,621.54","3,621.31","3,660.17","3,611.23","0.00K","0.06%"
"05/16/2024","3,619.46","3,625.84","3,627.32","3,603.66","0.00K","0.05%"
"05/15/2024","3,617.48","3,572.86","3,620.03","3,572.86","0.00K","1.57%"
"05/14/2024","3,561.61","3,568.53","3,576.60","3,553.80","0.00K","-0.33%"
"05/13/2024","3,573.25","3,598.27","3,604.36","3,559.47","0.00K","-0.70%"
"05/10/2024","3,598.44","3,594.74","3,606.28","3,588.96","0.00K","0.36%"
"05/09/2024","3,585.56","3,586.84","3,589.52","3,561.36","0.00K","0.08%"
"05/08/2024","3,582.57","3,560.31","3,589.32","3,560.31","","1.67%"
"05/02/2024","3,523.77","3,508.23","3,546.78","3,508.23","","0.31%"
"04/30/2024","3,512.98","3,534.83","3,543.48","3,512.98","","-0.61%"
"04/29/2024","3,534.50","3,538.60","3,542.06","3,513.83","","-0.26%"
"04/26/2024","3,543.86","3,508.37","3,545.18","3,508.37","","1.26%"
"04/25/2024","3,499.66","3,521.34","3,535.37","3,499.66","","-0.95%"
"04/24/2024","3,533.19","3,535.69","3,570.36","3,527.02","","0.06%"
"04/23/2024","3,531.11","3,464.14","3,531.11","3,464.14","","2.19%"
"04/22/2024","3,455.33","3,398.73","3,455.33","3,398.73","","2.26%"
"04/19/2024","3,378.85","3,325.80","3,388.49","3,325.80","","0.81%"
"04/18/2024","3,351.70","3,320.88","3,351.70","3,320.88","","1.20%"
"04/17/2024","3,311.98","3,306.45","3,330.68","3,299.85","","0.46%"
"04/16/2024","3,296.79","3,337.59","3,343.62","3,296.79","","-2.25%"
"04/15/2024","3,372.55","3,350.96","3,390.31","3,334.05","","-0.68%"
"04/12/2024","3,395.74","3,439.71","3,454.57","3,380.85","","-1.07%"
"04/11/2024","3,432.52","3,441.32","3,444.30","3,422.40","","-0.24%"
"04/10/2024","3,440.69","3,444.00","3,452.34","3,421.37","","0.26%"
"04/09/2024","3,431.92","3,378.44","3,437.28","3,373.78","","1.69%"
"04/08/2024","3,374.75","3,333.27","3,381.64","3,333.27","","1.39%"
"04/05/2024","3,328.60","3,317.24","3,331.26","3,280.84","","-0.22%"
"04/04/2024","3,335.88","3,328.97","3,356.86","3,312.56","","0.21%"
"04/03/2024","3,328.73","3,351.70","3,361.10","3,319.69","","-0.74%"
"04/02/2024","3,353.65","3,409.64","3,425.55","3,345.17","","-1.95%"
"03/28/2024","3,420.41","3,404.21","3,429.10","3,398.23","","0.40%"
"03/27/2024","3,406.83","3,422.90","3,444.98","3,404.41","","-0.42%"
"03/26/2024","3,421.31","3,425.28","3,437.74","3,417.05","","-0.38%"
